,name,fork project,commits,branches,default branch,releases,contributors,license,watchers,stargazers,forks,size,created,pushed,updated,homepage,main language,total issues,open issues,total pull requests,open pull requests,last commit,last commit SHA,has wiki,is archived,languages,labels
151,augurproject/augur-ui,False,16656,27,master,132,47,MIT License,84,412,107,70570,2015-02-02 20:56:19.0,2020-07-15 20:51:23.0,2021-02-05 08:53:42.0,https://dev.augur.net,JavaScript,778,12,2377,1,2020-02-07 22:19:31.0,73b21d9a6a0d8838e655f80964721469fa7a5506,True,False,"JavaScript,CSS,TypeScript,HTML,Shell,Dockerfile","Bug,Chore,Design,Feature,Priority: High,Priority: Low,Priority: Medium,Priority: Very High,Priority: Very Low,Release 1.9.0,Unreproducible Bug,dependencies,duplicate,enhancement,help wanted,invalid,question,v1,wontfix"
1537,pculture/miro,False,13392,138,master,177,16,,25,207,83,205893,2011-08-31 15:58:26.0,2019-10-03 14:11:23.0,2020-12-20 14:18:13.0,http://www.getmiro.com/,Python,11,9,431,4,2014-05-13 15:35:57.0,d8e4594441939514dd2ac29812bf37087bb3aea5,False,False,,
971,jhipster/generator-jhipster,False,29230,9,main,218,606,Apache License 2.0,809,18027,3551,74538,2013-10-21 20:07:22.0,2021-02-23 22:25:10.0,2021-02-23 21:22:17.0,https://www.jhipster.tech,JavaScript,6328,47,7695,19,2021-02-23 18:49:13.0,e59272f484a84ef0c30fa84ca1c283ec6f3b92b8,False,False,"JavaScript,TypeScript,Java,EJS,Vue,Shell,SCSS,CSS,Mustache,HTML,Dockerfile","$$ bug-bounty $$,$100,$200,$300,$500,area: JHipster Code :computer:,area: bug :bug:,area: cleanup,area: documentation:books:,area: duplicate,area: enhancement :wrench:,area: feature request :bulb:,area: invalid,area: needs-reproduction,area: proxy,area: question :question:,area: rfc,area: stale,area: triage,area: waiting for information,bounty: approved,bounty: request,changes: major :star:,changes: minor,github_actions,hacktoberfest,hacktoberfest-accepted,javascript,pr: bug-fix,pr: needs-change,pr: needs-manual-testing,pr: needs-review,pr: needs-unit-tests,pr: on-hold,pr: ready-to-merge-on-ci-pass,pr: reviewing,pr: skip-ci,pr: to-merge,pr: to-squash,resolution: lack of interest,resolution: should go to module,resolution: will-do-later,resolution: wont-fix,spam,status: good first issue,status: help wanted,status: needs-discussion,status: needs-pr,status: pr done,status: will-be-closed-for-lack-of-info,status: work in progress,theme: CI builds,theme: Continuous Integration,theme: GCP,theme: Heroku,theme: JDL,theme: OIDC/OAuth2,theme: angular,theme: api,theme: aws,theme: blueprint :paw_prints:,theme: caffeine,theme: cassandra,theme: cli,theme: cloud,theme: couchbase,theme: database,theme: dependencies,theme: docker :whale:,theme: elasticsearch,theme: entities,theme: fake-data,theme: front,theme: gae,theme: gateway,theme: gradle,theme: gulp.js,theme: hazelcast,theme: i18n,theme: infinispan,theme: ionic,theme: java,theme: jhipster-internals,theme: jhipster-lib,theme: jhipster-online,theme: kafka,theme: keycloak,theme: kubernetes,theme: language,theme: mapstruct,theme: maven,theme: microservice,theme: module,theme: mongo,theme: neo4j,theme: ng-jhipster,theme: openapi,theme: openshift,theme: prettier,theme: react"
1062,ledgerhq/ledger-live-desktop,False,6801,10,develop,94,37,MIT License,71,660,198,125537,2017-02-21 12:52:13.0,2021-03-26 13:03:40.0,2021-03-25 22:34:56.0,https://www.ledger.com/live,JavaScript,866,144,2787,23,2021-03-25 18:02:48.0,1a50d72634e087a8020b2ef52aa533d245ee5e86,False,False,"JavaScript,Python,Shell,HTML,Dockerfile,CSS,NSIS,Standard ML","API,HODL,Linux,Mac,PR welcomed,QA,Windows,bug,build,dependencies,design,discussion,duplicate,enhancement,feature request,good first issue,important,internal discussion,invalid,needs documentation,needs investigation,outdated,performance,question,regression,token support,wontfix,wording,work in progress"
1250,mozilla/addons-frontend,False,15041,2,master,17,308,Mozilla Public License 2.0,62,479,382,700362,2016-02-19 17:25:57.0,2021-03-26 17:04:06.0,2021-03-26 00:37:17.0,,JavaScript,4665,119,5493,6,2021-03-26 00:37:08.0,9a4c279609c69faba62970bf9c91e55174512b15,False,False,"JavaScript,HTML,SCSS,Shell,Dockerfile,Python","Hacktoberfest,component: FF50+,component: accessibility,component: add-on,component: add-on ratings,component: add-on recommendations,component: add-on versions,component: analytics,component: blocklist/block,component: categories,component: code quality,component: collections,component: cross-browser compatibility,component: documentation,component: experiments,component: guide pages,component: homepage,component: i18n,component: installation,component: landing pages,component: legacy pages,component: metrics,component: ops,component: performance,component: remaining features,component: screenshot viewer,component: search,component: security,component: sentry,component: seo,component: static pages,component: testing,component: themes,component: tracking,component: uitests,component: user profile,component: ux,contrib: assigned,contrib: good first bug,contrib: maybe good first bug,contrib: mentor assigned,contrib: outreachy,contrib: welcome,dependencies,env: dev,env: local dev,env: prod,env: stage,greenkeeper,javascript,needs: AB test,needs: api,needs: automation,needs: cherry-pick,needs: content,needs: discussion,needs: docs,needs: editorial,needs: info,needs: mentor,needs: more triage,needs: ops,needs: product,needs: research,needs: test cases,needs: uitest,needs: ux,neverstale,nom-remove-mvp,platform: android,platform: desktop,platform: docker,platform: linux,platform: osx,platform: server,platform: windows,priority: blocks release,priority: mvp,priority: mvp-polish,priority: p1,priority: p2,priority: p3,priority: p4,priority: p5,priority: post release,project: 2017 Q2,project: 2017 Q3,project: 2017 Q4,project: 2018 Q1,project: 2018 Q2,project: admin tools,project: amo,project: desktop pages,project: disco pane,project: mobile pages v1,project: mobile pages v2,python,qa: extra,qa: not needed,security"
928,intermine/intermine,False,34850,7,dev,63,28,Other,14,196,343,667550,2012-07-02 10:25:18.0,2021-03-23 19:22:06.0,2021-03-23 14:44:22.0,http://intermine.org,Java,1635,248,702,2,2021-03-18 16:17:36.0,499393cf7ac5ae0e4ba2f5d372c1e2f5104a9590,True,False,"Java,JavaScript,HTML,CSS,Groovy,GAP,Perl,Python,Shell,XSLT,Sass,Ruby,PHP,SCSS","Hacktoberfest,JBrowse,SEVERE,URGENT,WIP,bluegenes,bug,data,docs,duplicate,enhancement,fair,good first bug,gradle,help wanted,in-progress,input-needed,internships,invalid,model change,please-test,question,suggestion,tested,wishlist,wontfix"
1793,sefaria/sefaria-project,False,17115,160,master,691,42,,62,440,180,271955,2011-09-20 20:23:41.0,2021-03-29 18:16:16.0,2021-03-29 05:56:04.0,,JavaScript,264,75,368,15,2021-03-29 05:55:56.0,6d34d77aa7964a98832eacbf53ecbf0bad30fddd,True,False,"JavaScript,Python,HTML,CSS,PHP,Shell,Dockerfile,Batchfile","Good First Project,Priority: Critical,Priority: High,Priority: Low,Priority: Medium,Status: Completed,Status: In Progress,Status: On Hold,Status: Pending,Status: Review Needed,Type: Bug,Type: Content,Type: Enhancement,Type: Question,Zone: API,Zone: Apps,Zone: Backend,Zone: Export,Zone: Frontend,Zone: Linker,Zone: Source Sheets,dependencies,javascript"
2199,zenorogue/hyperrogue,False,6817,1,master,22,11,GNU General Public License v2.0,16,279,37,100819,2015-08-08 13:53:43.0,2021-03-29 22:04:32.0,2021-03-29 22:04:35.0,,C++,61,20,80,8,2021-03-29 22:04:20.0,1f939920d2c52644a96977f39cabf967ed5fd0ba,True,False,"C++,Java,C,Makefile,Shell,CMake","bug,duplicate,enhancement,help wanted,invalid,question,wontfix"
1097,livelykernel/livelykernel,False,6325,69,master,6,29,MIT License,38,249,52,63787,2012-02-10 00:31:14.0,2020-07-05 17:03:13.0,2021-01-27 09:36:21.0,http://lively-web.org/,JavaScript,222,70,129,9,2020-07-05 17:02:02.0,b6b06a846ee80e24ec3133117004032749f4fab3,True,False,"JavaScript,HTML,Vim Snippet,CSS,ActionScript,Shell","Github,defect,discussion,feature,in progress,refactoring/reimplementation,tests"
1201,microsoft/azure-pipelines-tasks,False,11747,2653,master,9,292,MIT License,258,2425,1894,434929,2014-12-06 11:11:46.0,2021-03-27 22:46:55.0,2021-03-27 23:47:52.0,https://aka.ms/tfbuild,TypeScript,6097,425,8538,86,2021-03-26 09:47:09.0,2ef1cae4ad991b47ce6b63ddacfacf645da9c575,True,False,"TypeScript,PowerShell,JavaScript,HTML,TSQL,CSS,Shell,Batchfile,Java","Area: ABTT,Area: AppCenter,Area: Artifacts,Area: ArtifactsCore,Area: ArtifactsPackages,Area: AzureAppService,Area: Build,Area: CodeCoverage,Area: Core,Area: CrossPlatform,Area: Documentation,Area: Mobile,Area: PipelineArtifact,Area: PipelineCaching,Area: Release,Area: ServiceFabric,Area: Symbols,Area: Test,Area: TestManagement,DTS,External,Investigate,Need Repro,P1,Task: AndroidSigning,Task: ArchiveFiles,Task: AzureAppService,Task: AzureCloudPowerShellDeployment,Task: AzureFileCopy,Task: AzureFunction,Task: AzureMonitorAlerts,Task: AzureNLBManagement,Task: AzurePowerShell,Task: AzureRmWebAppDeployment,Task: AzureWebApp,Task: Bash,Task: CMake,Task: Cache,Task: Chef,Task: CmdLine,Task: CopyFilesOverSSH,Task: DeleteFiles,Task: DownloadSecureFile,Task: ExtractFiles,Task: FileTransform,Task: Gradle,Task: Grunt,Task: Gulp,Task: IISWeb,Task: IISWebAppDeployment,Task: InstallAppleCertificate,Task: InstallSSHKey,Task: JavaToolInstaller,Task: JenkinsQueueJob,Task: MSBuild,Task: Maven,Task: MysqlDeployment,Task: PowerShell,Task: PowerShellOnTargetMachines,Task: PublishBuildArtifacts,Task: PublishCodeCoverageResults,Task: SqlDacpacDeployment,Task: Ssh,Task: UsePythonVersion,Task: VSBuild,Task: WindowsMachineFileCopy,Task: XamarinAndroid,Task: XamariniOS,Task: Xcode,Task: XcodePackageiOS,Under Consideration,Waiting for author feedback,aa-backlog,aa-triaged,awaiting deployment,backlog,bug,deployment,doc,duplicate,enhancement,environment:bug,environment:documentation,environment:enhancement,environment:external-dependency,environment:need-to-triage,environment:question,environment:under-investigation,help wanted,invalid,q3,question,regression,route,stale,task: CopyFiles,task: DownloadBuildArtifacts,triage"
834,handsontable/handsontable,False,7029,72,master,180,99,Other,480,14932,2581,133508,2011-05-23 22:38:58.0,2021-03-26 13:13:49.0,2021-03-27 16:15:17.0,https://handsontable.com,JavaScript,6452,618,1130,31,2021-03-18 10:02:32.0,fa685dc8c194c0269b893d202580ce7091ed8322,True,False,"JavaScript,TypeScript,CSS,Vue,EJS","ANNOUNCEMENT,Auto column size,Auto fill,Auto row size,BindRowsWithHeaders,Blocked,Bottom rows,Breaking change,CLA signed,Cell type: autocomplete / dropdown / handsontable,Cell type: base / text / password,Cell type: checkbox,Cell type: date,Cell type: numeric,Cell type: select,Cell type: time,Collapsing,Column sorting,Comments,Context menu,Copy-paste,Core: alignment/height/width,Core: callbacks,Core: compatibility,Core: handsontable,Core: performance,Core: selection,Core: spare rows/columns,Core: update settings,Core: validation,Core: walkontable,Custom borders,Dropdown menu,Edge,Editor,Epic,Export,Filtering,Firefox,Fixing,Formulas,Freeze / Resize / Move,Gantt Chart,Guess: 2 hours,Guess: a day or more,Guess: a week or more,Guess: few hours,Header tooltips,Headers,Help needed,Hiding,Merge cells,Mobile,Moving,Multi-column sorting,Nested Headers,Nested rows,Observe changes,Part of scope,Persistent state,Read-only,Regression,Resizing,Safari,Search,Status: Answered,Status: Developed (ready for review),Status: In development,Status: Merged (ready for release),Status: On hold,Status: Released,Status: Reopened,Status: Reviewed (ready for merge),Status: To be discussed,Stretching,Summary calculations,Tests: E2E,Tests: Unit,Translation,Trimming,Type: Assistance needed,Type: Bug,Type: Change,Type: Demo needed,Type: Documentation needed,Type: Duplicate,Type: Feature,Type: Improvement suggestion,Type: Question,TypeScript,Undo-redo,Windows,Wontfix,Zoom/UI Scaling,angular,focus/blur,hyperformula,iOS,react,scroll"
899,imageengine/cortex,False,8680,3,master,214,31,Other,70,428,111,108567,2013-06-12 23:12:28.0,2021-03-29 17:03:25.0,2021-03-29 19:49:28.0,,C++,83,37,1052,5,2021-03-29 17:03:24.0,b99beabba23e98e10f107042a9f4043d8ee6740f,True,False,"C++,Python,Mathematica,CMake,C,GLSL,Shell,Objective-C,Tcl,Batchfile","3delight,alembic,arnold,bug,core,docs,gl,houdini,image,maya,nuke,pr-blocked,pr-docs,pr-hold,pr-revision,renderman,scene,usd,vdb"
1193,micro-ros/nuttx,False,34464,10,master,3,151,Other,16,50,24,96064,2018-01-15 14:29:34.0,2021-02-15 10:56:32.0,2021-02-16 12:44:39.0,http://micro-ros.github.io/,C,38,4,15,1,2020-09-08 09:37:18.0,cbfc73f0fff6bc9d4d08ea002a5155181f39043c,True,False,"C,C++,Assembly,Makefile,Shell,Objective-C,Python,Batchfile,Perl,Pascal","bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix"
2041,unidata/netcdf-c,False,7732,166,master,43,63,BSD 3-Clause New or Revised License,44,336,181,54454,2013-08-06 20:48:09.0,2021-03-18 20:52:41.0,2021-03-17 22:14:29.0,,C,1019,158,943,15,2021-03-17 22:14:26.0,a9ba3c53b156e1b32f76f43b67ef430b4013af0a,True,False,"C,M4,Shell,CMake,C++,Roff,HTML,Yacc,Makefile,Lex,Batchfile,Awk","arch/32-bit,arch/64-bit,arch/any,area/DAP2,area/DAP4,area/build/all,area/build/autoconf,area/build/cmake,area/compression_plugins,area/documentation,area/general,area/netcdf3,area/netcdf4,area/parallel,area/static analysis,area/tests,area/utils,platform/any,platform/linux,platform/osx,platform/other,platform/windows,priority/high,priority/low,priority/medium,reason/build failure,reason/configure failure,reason/duplicate,reason/expected behavior,reason/false positive,reason/not a bug,reason/resource contstrained,reason/test failure,resolution/can't fix,resolution/ignore,resolution/patch welcome,resolution/rejected,resolution/stale,resolution/won't fix,status/already fixed,status/can't duplicate,status/confirmed,status/fix required,status/more information needed,status/rejected,status/revisit,status/under consideration,status/under review,type/bug,type/clarification,type/enhancement,type/feature request,type/information,type/performance,type/question,type/refactor"
618,euroelessar/qutim,False,6598,15,master,5,26,Other,26,143,33,25002,2011-05-18 14:56:53.0,2017-07-10 14:07:17.0,2020-04-23 22:07:19.0,http://qutim.org/,C++,62,38,345,3,2017-01-07 14:53:11.0,f3c9d1536344c1fd82eaaf4e7a1bf92e4ba2e304,True,False,,
82,antennapod/antennapod,False,7371,6,develop,34,175,GNU General Public License v3.0,165,3447,941,105353,2012-07-31 10:25:08.0,2021-03-28 20:59:07.0,2021-03-28 20:59:45.0,https://antennapod.org/,Java,2878,235,2161,15,2021-03-28 20:57:48.0,ea4488c18112de4ee8a328ca14fadf79b171004c,True,False,"Java,HTML,Python,Shell,CSS","(Chrome)Cast,Accessibility,Android Auto,Podcast Index / Podcasting 2.0,confirmed bug,do not merge,duplicate,enhancement,feature request,good first issue,hacktoberfest,help wanted,invalid,needs info,needs mock-up,possible bug,project issue,question / support,usability,wontfix"
