,name,fork project,commits,branches,default branch,releases,contributors,license,watchers,stargazers,forks,size,created,pushed,updated,homepage,main language,total issues,open issues,total pull requests,open pull requests,last commit,last commit SHA,has wiki,is archived,languages,labels
1955,telefonicaid/fiware-orion,False,10847,64,master,57,61,GNU Affero General Public License v3.0,45,145,197,40201,2013-09-13 11:55:25.0,2021-03-29 16:00:32.0,2021-03-29 09:51:19.0,https://fiware-orion.rtfd.io/,C++,1470,365,2357,12,2021-03-29 09:51:15.0,895dea72a5a96f8fd4529e0373d0caa6ae1454d4,True,False,"C++,Gherkin,Python,Shell,C,CMake,Makefile,Dockerfile,JavaScript,XSLT,Go","APIv2,APIv2-debt,APIv2.1,AdvancedLevel,EntryLevel,IntermediateLevel,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9,QATestPending,backlog,bug,dependencies,doc,good first issue,help wanted,mongodriver,must,ngsi-ld,nicetohave,question,should,techdebt"
1086,linuxdeepin/dde-control-center,False,6858,77,master,3,43,GNU General Public License v3.0,27,141,60,215280,2013-11-06 07:23:41.0,2021-03-29 09:59:06.0,2021-03-29 09:59:08.0,,C++,186,123,161,5,2021-03-29 09:58:44.0,195db5de645a6f8336d6e3b0f6ccdff2adb152af,True,False,"C++,CMake,QMake,Shell,CSS,C","bug,duplicate,enhancement,invalid,question,wontfix"
1709,reportportal/service-ui,False,5969,134,master,100,44,Apache License 2.0,29,43,82,68898,2016-09-14 12:38:54.0,2021-02-16 14:22:19.0,2021-02-04 12:33:04.0,,JavaScript,36,4,2536,8,2021-02-04 12:32:56.0,e6741ce954b511ae0686be7fdd14f12cbdd1df9a,True,False,"JavaScript,SCSS,Go,Makefile,Groovy,HTML,Dockerfile,Shell","4.4,5.3.1,5.3.5,Recheck,beta,bug,component:ui,dependencies,do not merge,duplicate,enhancement,fixed,help wanted,hotfix,invalid,question,review,v5beta,waiting for response,wontfix"
246,boost-ext/di,False,5049,6,cpp14,3,13,,69,761,84,75026,2012-01-23 21:42:55.0,2021-03-25 04:10:42.0,2021-03-25 12:40:36.0,https://boost-ext.github.io/di,C++,349,42,164,1,2021-03-11 18:02:54.0,52e6eaeb8d8ec4110e804d55252ce192c6bd55ae,False,False,"C++,Java,C#,CMake,Shell,Python,Meson,Makefile","archive,bug,ci,doc,example,extension,feature,improvement,in progress,ready,test,usage question"
1098,lk8000/lk8000,False,8698,8,master,26,38,GNU General Public License v2.0,16,93,56,74493,2011-01-09 16:55:30.0,2021-03-24 23:06:50.0,2021-03-24 23:06:53.0,http://www.lk8000.org,C++,361,26,1177,4,2021-03-24 23:00:57.0,5a42571ba641875ba397d15cbb7e14b7a14f4b2d,True,False,"C++,C,Java,HTML,Makefile,CMake,Shell,Assembly,XSLT","Bug,CRITICAL,Change request,Done. check and close,Glitch,Low priority BUG,New Feature,Reminder,To investigate,Work in progress"
678,firemodels/smv,False,33163,1,master,33,35,Other,10,22,124,62844,2016-08-31 15:46:51.0,2021-03-28 17:23:22.0,2021-03-28 17:23:26.0,,C,105,14,1010,1,2021-03-28 17:23:22.0,2bf4355449137b244cad6eb374d4398da1029161,True,False,"C,C++,TeX,HTML,C#,Lua,Fortran,Shell,Makefile,Batchfile,Roff,Objective-C,CSS","bug,duplicate,enhancement,help wanted,invalid,question,wontfix"
2014,tropy/tropy,False,7674,15,master,87,10,Other,22,338,38,82972,2015-11-03 21:29:09.0,2021-03-24 12:57:17.0,2021-03-24 12:57:20.0,https://tropy.org,JavaScript,474,163,125,3,2021-03-24 12:56:15.0,0133542e379b5829090be33909ce46392d197da4,True,False,"JavaScript,SCSS,GLSL,HTML,Shell","bug,db,dependencies,discussion,duplicate,electron,enhance!,esper,future,help wanted,infrastructure,linux,macOS,metadata,notepad,performance,react,ui/ux,upstream,windows"
2120,wazuh/wazuh-kibana-app,False,7960,138,master,149,26,GNU General Public License v2.0,49,217,70,38911,2016-06-29 01:43:18.0,2021-03-23 21:03:51.0,2021-03-23 20:52:39.0,https://wazuh.com/,TypeScript,1432,131,1639,20,2021-03-23 20:52:32.0,34a7422668f5880ee75b0ba9ec0f5cbd91c1fe7e,True,False,"TypeScript,JavaScript,SCSS,HTML,Pug,Shell","3.12.0,3.13.0,4.0.0,4.0.4-7.10.0,4.1,4.1.0-7.10.0,4.1.1,4.2,5.0,API 4.0/RBAC,Epic,NIDS,Redesign,UI/UX,UX,[i2] API 4.0/RBAC,back-end,backport,backport 3.13-7.7,backport 4.0-7.8.0-rbac,backport 4.0-7.9,bug,cicd,cloud,community,deangularize,delayed,documentation,duplicate,enhancement,help wanted,i18n,installation,kibana-release,kibana:index-patterns,kibana:oss,kibana:spaces,newPlatform,np/browser-side,np/server-side,on-going,operations,pending-api,pending-core,priority/high,priority/low,priority/medium,qa,react,reporting,server:logger,stalled,testing,testing:e2e,ui:dashboards,ui:events (discover)"
1474,openzfs/zfs,False,6649,12,master,64,327,Other,470,6828,1295,90878,2009-12-14 20:20:34.0,2021-03-29 00:52:19.0,2021-03-29 01:05:13.0,https://openzfs.github.io/openzfs-docs,C,6469,828,5150,108,2021-03-26 21:21:00.0,38280c3526845852c4da09fd0c11090493ee58fb,True,False,"C,Shell,M4,Python,Assembly,Makefile,C++,Lua,Perl,Roff,sed,Awk","Bot: Not Stale,Component: Dracut,Component: Encryption,Component: GRUB,Component: Memory Management,Component: Packaging,Component: Send/Recv,Component: Share,Component: Systemd,Component: Test Suite,Component: Userspace,Component: ZED,Component: ZVOL,Status: Accepted,Status: Blocked,Status: Code Review Needed,Status: Design Review Needed,Status: Feedback requested,Status: Inactive,Status: Revision Needed,Status: Stale,Status: Triage Needed,Status: Understood,Status: Work in Progress,Type: Architecture,Type: Backport,Type: Building,Type: Defect,Type: Documentation,Type: Feature,Type: Performance,Type: Question,Type: Regression,Type: Unknown,good first issue"
2053,uportal-project/uportal,False,15976,12,master,60,77,Apache License 2.0,53,223,260,169239,2011-10-20 15:34:22.0,2021-03-29 22:19:51.0,2021-03-29 18:40:18.0,https://www.apereo.org/projects/uportal,Java,98,46,2218,17,2021-03-29 18:40:16.0,7b33eed59baba7b41360562b89544a6f9a73e754,False,False,"Java,JavaScript,XSLT,HTML,Less,Groovy,CSS","Hacktoberfest,bug,dependencies,discussion,enhancement,good first issue,help wanted,rebase,stale,work in progress"
